Title,Body,Labels,Milestone,Assignees
Create Organisation model,"Add Organisation model, migration, and default organisation seed. Keep all existing routes intact.","phase-3,platform,sprint-1,backend",,
Create OrganisationModuleSetting model,Add organisation-scoped module settings model with safe defaults for current modules.,"phase-3,platform,sprint-1,backend",,
Run migration and seed default org,"Create and apply migration, then ensure the app boots with a default organisation without breaking existing functionality.","phase-3,platform,sprint-1,backend",,
Build module enablement helper,Create a shared helper/service to determine whether a module is enabled for the active organisation.,"phase-3,platform,sprint-1,backend",,
Add admin settings page for module toggles,Create admin UI for enabling/disabling modules and related organisation settings.,"phase-3,platform,sprint-1,admin,ui",,
Hide disabled modules from dashboard,"Update dashboard rendering so disabled modules are not shown, without changing routes.","phase-3,platform,sprint-1,ui",,
Hide disabled modules from navigation,Update nav/sidebar rendering to hide disabled modules while preserving route definitions.,"phase-3,platform,sprint-1,ui",,
Create AdvisorEscalation model,Add core escalation record model for advisor handoff workflow.,"phase-3,escalation,sprint-2,backend",,
Create AdvisorEscalationDocument model,Add model for documents attached to advisor escalations.,"phase-3,escalation,sprint-2,backend",,
Build escalation service,"Create shared service layer for packaging, submitting, and tracking escalations.","phase-3,escalation,sprint-2,backend",,
Add 'Escalate to advisor' button to PIP detail,Add a visible escalation action on PIP detail pages.,"phase-3,escalation,pip,sprint-2,ui",,
Build PIP escalation form,Create form for escalation summary and supporting document selection.,"phase-3,escalation,pip,sprint-2,ui",,
Add timeline event on escalation submission,Log escalation submission into TimelineEvent for auditability.,"phase-3,escalation,sprint-2,audit",,
Create admin/advisor escalation queue page,Build queue page to view and manage submitted escalations.,"phase-3,escalation,sprint-2,admin,ui",,
Create escalation detail page,"Build detail view for escalation record, attachments, and status history.","phase-3,escalation,sprint-2,ui",,
Add escalation action to Employee Relations,Add advisor escalation entry point to ER cases.,"phase-3,escalation,employee-relations,sprint-3,ui",,
Build ER case summary generator,Create shared summary packaging for ER cases before escalation.,"phase-3,escalation,employee-relations,sprint-3,backend",,
Add ER document selection support,Allow ER case documents to be attached to escalations.,"phase-3,escalation,employee-relations,sprint-3,backend,ui",,
Extend queue filters by module and status,"Add filters to escalation queue for module, status, date, and user.","phase-3,escalation,sprint-3,admin,ui",,
Add escalation assignment and status updates,Allow advisors/admins to assign escalations and move status through workflow.,"phase-3,escalation,sprint-3,admin,backend",,
Extract shared AI consent service,Create shared AI governance service for consent checks and audit logging.,"phase-3,ai-governance,sprint-4,backend",,
Create reusable AI warning template,Build shared warning/consent partial for AI usage across modules.,"phase-3,ai-governance,sprint-4,ui",,
Standardise AI timeline logging,Ensure AI usage is logged consistently across modules.,"phase-3,ai-governance,sprint-4,audit,backend",,
Align PIP and ER AI flow,Refactor usage patterns so PIP and ER use the same AI orchestration path.,"phase-3,ai-governance,sprint-4,backend",,
Create AI audit admin screen,"Build admin screen showing AI usage, consent status, module context, and timestamps.","phase-3,ai-governance,sprint-4,admin,ui",,
Add AI usage dashboard card,Add dashboard card/widget summarising AI usage activity.,"phase-3,governance,sprint-5,reporting,ui",,
Add escalation dashboard card,Add dashboard card/widget summarising advisor escalation activity.,"phase-3,governance,sprint-5,reporting,ui",,
Add governance filters,"Add filters for module, user, date, and status across governance screens.","phase-3,governance,sprint-5,admin,ui",,
Add AI config text and toggles,"Add admin controls for AI wording, consent text, and module-level AI availability.","phase-3,governance,sprint-5,admin,backend",,
Add escalation routing config,"Add admin settings for escalation destinations, assignments, and workflow defaults.","phase-3,governance,sprint-5,admin,backend",,
Clean repo local artefacts,"Remove tracked local artefacts such as .venv, DB files, uploads, and archive folders from source control.","phase-3,hardening,sprint-6,ops",,
Align deployment entrypoint,Standardise Procfile/WSGI startup path and document the supported approach.,"phase-3,hardening,sprint-6,ops",,
Write environment setup documentation,"Document environment variables, local setup, and deployment prerequisites.","phase-3,hardening,sprint-6,docs",,
Create deployment checklist,Create release/deployment checklist for safer production updates.,"phase-3,hardening,sprint-6,docs,ops",,
Add backup and recovery notes,"Document backup, restore, and rollback procedures.","phase-3,hardening,sprint-6,docs,ops",,
